2023-08-29 16:11:45.005 INFO  [26740] [CClientManager::CheckLicense@6626] start

2023-08-29 16:11:45.005 INFO  [26740] [CClientManager::CheckLicense@6678] end

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::InitAuthorization@5957] SDK: InitAuthorization, authorization check successful.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::InitAuthorization@5961] end.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::Init@5403] begin.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5690] start

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5704] end

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5690] start

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5704] end

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::Init@5421] end.nRet[0]

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::PF_DetectAndStartServer@12445] begin.

2023-08-29 16:11:45.100 INFO  [26740] [CServerManager::DetectService@33907] SDK: DetectService by OpenSCManager start

2023-08-29 16:11:45.100 INFO  [26740] [CServerManager::DetectService@33972] end

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::PF_DetectAndStartServer@12640] end.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::PF_CreateHandle@1447] begin. nHandleType:[0]

2023-08-29 16:11:45.106 INFO  [26740] [CClientManager::PF_CreateHandle@1475] SDK: Third software start server by exe.

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::SM_Init@388] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInit@23606] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopModuResSub@24883] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopModuResSub@24893] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopSub@24759] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopSub@24769] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopHeartPair@25765] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopHeartPair@25773] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitReadSendBuffer@23713] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitReadSendBuffer@23735] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitHeartPair@24411] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopHeartPair@25765] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::StopHeartPair@25773] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitHeartPair@24426] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitSub@23890] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitSub@23904] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitProxySub@23993] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitProxySub@24008] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitReq@24268] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::UnRegisterModule@24692] start

2023-08-29 16:11:45.106 WARN  [26740] [CServerManager::UnRegisterModule@24695] SDK: m_hCommunicationReq is NULL.

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::NotifyServerDestroy4Export@12372] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::NotifyServerDestroy4Export@12388] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitReq@24293] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInit@23644] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::InitReadSendBuffer@23655] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitReadSendBuffer@23713] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitReadSendBuffer@23735] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::InitReadSendBuffer@23702] end

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::SM_Init@423] SDK: InitReadSendBuffer success.pstPlatformBasicInfo->nRepIp[0x7f000001],nport[5556]

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::SM_Init@442] SDK: GetAdapterInfo success. Info:[127.0.0.1]

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::InitSub@23809] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitSub@23890] start

2023-08-29 16:11:45.106 INFO  [26740] [CServerManager::DeInitSub@23904] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitSub@23879] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::SM_Init@480] SDK: InitSub success.

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitProxySub@23914] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::DeInitProxySub@23993] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::DeInitProxySub@24008] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitProxySub@23982] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::SM_Init@489] SDK: InitProxySub success.

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitHeartPair@24298] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::DeInitHeartPair@24411] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::StopHeartPair@25765] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::StopHeartPair@25773] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::DeInitHeartPair@24426] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitHeartPair@24333] SDK: request heartbeat addr[tcp://127.0.0.1:49201]

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitHeartPair@24404] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::SM_Init@497] SDK: InitHeartPair success.

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitReq@24018] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::DeInitReq@24268] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::UnRegisterModule@24692] start

2023-08-29 16:11:45.117 WARN  [26740] [CServerManager::UnRegisterModule@24695] SDK: m_hCommunicationReq is NULL.

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::NotifyServerDestroy4Export@12372] start

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::NotifyServerDestroy4Export@12388] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::DeInitReq@24293] end

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitReq@24075] Bind address:[tcp://127.0.0.1:49202]

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitReq@24079] Bind address:[tcp://127.0.0.1:49202], nRet:[0]

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitReq@24083] SetSocketOpt, nRet:[0]

2023-08-29 16:11:45.117 INFO  [26740] [CServerManager::InitReq@24087] SetSocketOpt, nRet:[0]

2023-08-29 16:11:45.118 INFO  [26740] [CServerManager::InitReq@24163] SDK:Connect addr:[tcp://127.0.0.1:5556], nRet:[0]

2023-08-29 16:11:45.118 INFO  [26740] [CServerManager::InitReq@24173] SDK: Connect to vmserver rep[tcp://127.0.0.1:5556]

2023-08-29 16:11:45.118 INFO  [26740] [CServerManager::GetProxyRegisterState@23207] start.

2023-08-29 16:11:45.118 INFO  [26740] [CServerManager::GetProxyRegisterState@23279] end.

2023-08-29 16:11:45.118 INFO  [26740] [CServerManager::RegisterModule@24436] start

2023-08-29 16:11:45.158 INFO  [26740] [CServerManager::GetProcessDirectoryById@34396] SDK: Process path:[H:\hikon\VisionMaster4.2.0\Applications\Server]

2023-08-29 16:11:45.158 INFO  [26740] [CServerManager::RegisterModule@24505] SDK: Register RepAddress:[]; Proxy pub address:[tcp://0.0.0.0:65253]

2023-08-29 16:11:45.158 INFO  [26740] [CServerManager::RegisterModule@24507] SDK: Register info. ClientType:[1]; GUID:[127.0.0.1:271E644FBB774C4AA7FC43939BFB0138]

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::RegisterModule@24681] end

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::InitReq@24257] end

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::SM_Init@506] SDK: InitReq success.

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::SM_Init@515] SDK: StartSub success.

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::StartModuResSub@24858] start

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::StartModuResSub@24871] end

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::SM_Init@525] SDK: StartModuResSub success.

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::ProxyP2PConnect@36771] Begin

2023-08-29 16:11:45.226 INFO  [26740] [CServerManager::GetProxyP2PAddr@36715] start

2023-08-29 16:11:45.226 INFO  [11776] [CServerManager::HeartPairThreadProcess@25790] start

2023-08-29 16:11:45.226 INFO  [5648] [CServerManager::SubThreadProcess@24797] start

2023-08-29 16:11:45.226 INFO  [9376] [CServerManager::ModuResSubThreadProcess@24921] start

2023-08-29 16:11:45.227 INFO  [26740] [CServerManager::GetProxyP2PAddr@36761] end

2023-08-29 16:11:45.227 INFO  [26740] [ProxyP2PComm::InitP2PComm@60] start

2023-08-29 16:11:45.242 INFO  [26740] [ProxyP2PComm::InitP2PComm@97] end

2023-08-29 16:11:45.242 INFO  [26740] [CServerManager::ProxyP2PConnect@36786] End

2023-08-29 16:11:45.242 INFO  [26740] [CServerManager::SM_Init@563] end

2023-08-29 16:11:45.242 INFO  [26740] [CServerManager::SM_SetAllReportModuleResult@14848] start.

2023-08-29 16:11:45.243 INFO  [26740] [CServerManager::SM_SetAllReportModuleResult@14872] end.

2023-08-29 16:11:45.243 INFO  [26740] [CServerManager::SM_GetProcedureReentrant@21018] start.

2023-08-29 16:11:45.243 INFO  [26740] [CServerManager::SM_GetProcedureReentrant@21053] SDK: SM_GetProcedureReentrant nRecvBufLen:[228]

2023-08-29 16:11:45.243 INFO  [26740] [CServerManager::SM_GetProcedureReentrant@21101] end.

2023-08-29 16:11:45.243 INFO  [26740] [CClientManager::PF_CreateHandle@1535] end.

2023-08-29 16:11:45.795 INFO  [26740] [CServerManager::SM_RegisterOutputPlatformInfoCallBack@575] start

