2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.527 INFO  [9184] [CMQCommSubject::CMQCommSubject@12] CMQCommSubject loadLog: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.527 INFO  [9184] [CMQCommSubject::CMQCommSubject@12] CMQCommSubject loadLog: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::BindPort@188] bind localip[127.0.0.1],port[50410]

2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::BindPort@188] bind localip[127.0.0.1],port[50411]

2023-10-09 13:19:07.527 INFO  [9184] [CMQCommRequire::Connect@204] want connect to server[tcp://127.0.0.1:5556],nConnTimeout[10000],client type[Require],m_dwSpliceSendBufSize[10240]

2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::Connect@223] mq client type[5]---connect server[127.0.0.1:5556], nLoopTimes[200],nConnTimeout[10000]

2023-10-09 13:19:07.527 INFO  [9184] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:19:07.528 INFO  [9184] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:5556] success,socket id[1412]-[0000000000000584],local ipaddr[127.0.0.1:50411],pIocp[0000021D6AFCE6E0]

2023-10-09 13:19:07.528 INFO  [9184] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[5000],socketid[1412]

2023-10-09 13:19:07.528 INFO  [9184] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1412],m_strServerAddr[tcp://127.0.0.1:5556]

2023-10-09 13:19:07.528 INFO  [9184] [CTimerProxy::Regitser@52] Register timer event,Handle[1],pUserData[0000021D6CA08890]

2023-10-09 13:19:07.528 INFO  [9184] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[1],client[0000021D6CA08890]---nClientType[5]

2023-10-09 13:19:07.528 INFO  [9184] [CMQCommRequire::Connect@234] want connect to server[tcp://127.0.0.1:5556] succ,client type[Require]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommSubject::Connect@28] want to connect to server [tcp://127.0.0.1:49670],client type[Subject], connect timeout is[0]ms

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::Connect@223] mq client type[3]---connect server[127.0.0.1:49670], nLoopTimes[2],nConnTimeout[0]

2023-10-09 13:19:07.854 INFO  [9184] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

